silence_weight,accuracy,pitch_precision,pitch_recall,pitch_f,tab_precision,tab_recall,tab_f,tab_disamb
1.0,0.7011434511434511,0.9506903353057199,0.12704269899841855,0.224133922343641,0.8046875,0.10816487266999213,0.19069659800972,0.846424403526971
0.5,0.7219334719334719,0.915445321307779,0.2140221402214022,0.3469344157231361,0.7677984665936474,0.18403780519821475,0.2969080897924608,0.8387158126460162
0.3,0.7367463617463618,0.877502001601281,0.28887717448603056,0.43466190759468576,0.6991150442477876,0.2488842215804673,0.36708615682478213,0.7967104838188748
0.2,0.749913374913375,0.8390092879256966,0.35714285714285715,0.501016823812165,0.6600110926234054,0.312417957469152,0.4240912330719886,0.7866552875179333
0.1,0.757016632016632,0.7559449311639549,0.4775962045334739,0.5853658536585366,0.5875726744186046,0.42452087161984775,0.49291266575217196,0.7772691504312337
0.07,0.7522522522522522,0.7139823008849557,0.5316288877174487,0.6094576219972806,0.5502886660589487,0.4754528747702809,0.5101408450704225,0.7707315228639217
0.05,0.7418572418572419,0.6676718938480096,0.5835529783869268,0.6227848101265823,0.5080872913992298,0.5195589393541612,0.5137590861889928,0.7609834951580154
0.03,0.7016632016632016,0.5679303037438191,0.6357406431207169,0.5999253824151226,0.4374617425015303,0.5628773956419008,0.49230769230769234,0.7702736403001655
0.02,0.6492550242550242,0.48541062801932366,0.6620980495519241,0.5601516334039469,0.3804069071636177,0.5841428196377002,0.4607579208945951,0.7836806308008446
0.01,0.49913374913374914,0.3646827624929815,0.6847654190827622,0.4759113390730903,0.2923096543808188,0.6017327382515096,0.3934763948497854,0.8015450261004439
0.005,0.3341995841995842,0.28864524533217545,0.7008434370057987,0.4088882054436414,0.2367679613604347,0.6177474402730375,0.342329235469557,0.8202732079926004
